# GREY_SKILL_GAP corroboration report
traces=155 snapshot=/home/blentz/.cache/artifactsmmo/gamedata-api.artifactsmmo.com.json
model: skill_xp_positive(content, skill) = content >= 1 and skill < content + 11

## GATHER (load-bearing: 3231 cycles)
 gap   pays   zero  verdict
   0     20      0  PAYS
   1    194      0  PAYS
   2    346      0  PAYS
   3    144      0  PAYS
   4     19      0  PAYS
   5    111      0  PAYS
   6    338      0  PAYS
   7    394      0  PAYS
   8    293      0  PAYS
   9    192      0  PAYS
  10    159      0  PAYS
  11      0    310  ZERO
  14      0     86  ZERO
  15      0    176  ZERO
  16      0    314  ZERO
  20      0    135  ZERO

## CRAFT (ADVISORY — attribution lag: 456 cycles)
 gap   pays   zero  verdict
   0     10      0  PAYS
   1      4      0  PAYS
   2      9      0  PAYS
   3     14      0  PAYS
   4     13      0  PAYS
   5     25      0  PAYS
   6     18      0  PAYS
   7      3      0  PAYS
   8     22      0  PAYS
   9     43      0  PAYS
  10     59      0  PAYS
  11      0    146  ZERO
  12      0     74  ZERO
  14      0      5  ZERO
  20      0     11  ZERO

OUT-OF-BAND OUTLIERS (unexplained if any; see module docstring for why 'attribution lag' is no longer assumed): none
VIOLATIONS: none — GREY_SKILL_GAP = 11 holds on every gather bucket
